--------------------Log File--------------------
model_name,lr,seed,epoch,phase,total_loss,auc
vgg16,0.001,0,1,train,0.5573661022186279,0.369799451918286
vgg16,0.001,0,1,test,0.2906862691640854,0.5818478260869565
vgg16,0.005,0,1,train,0.8072951874732971,0.4744020926756352
vgg16,0.005,0,1,test,0.437343590259552,0.5648097826086956
vgg16,0.01,0,1,train,1.2291920881271363,0.48668202956319545
vgg16,0.01,0,1,test,1.07920769739151,0.6242934782608694
vgg16,0.05,0,1,train,7.144693645477295,0.4738415545590433
vgg16,0.05,0,1,test,9.75563083267212,0.6145516304347826
vgg16,0.1,0,1,train,14.3188994140625,0.47411144328184684
vgg16,0.1,0,1,test,19.33029502105713,0.6152717391304348
vgg16,0.5,0,1,train,71.52291817474365,0.4740387809333998
vgg16,0.5,0,1,test,96.4077598876953,0.6151766304347827
vgg16,0.001,10,1,train,0.5620284185409546,0.37860197641587784
vgg16,0.001,10,1,test,0.2764339636564255,0.6556929347826086
vgg16,0.005,10,1,train,0.8290011587142945,0.4730215080551403
vgg16,0.005,10,1,test,0.41418357729911803,0.5920108695652173
vgg16,0.01,10,1,train,1.2930802354812623,0.4808482810164425
vgg16,0.01,10,1,test,1.0020033912658692,0.6451358695652175
vgg16,0.05,10,1,train,6.683831130981445,0.47506643414715166
vgg16,0.05,10,1,test,7.8006077461242675,0.6139809782608696
vgg16,0.1,10,1,train,13.336629901885987,0.4746823617339313
vgg16,0.1,10,1,test,15.70988060760498,0.6115217391304348
vgg16,0.5,10,1,train,66.70156464767456,0.47414258428832423
vgg16,0.5,10,1,test,79.66671194458007,0.6095788043478261
vgg16,0.001,100,1,train,0.6716358890533447,0.3626681614349776
vgg16,0.001,100,1,test,0.28241747748851775,0.5985869565217392
vgg16,0.005,100,1,train,1.0066826746463775,0.4592468028566683
vgg16,0.005,100,1,test,0.3451262483596802,0.5706657608695652
vgg16,0.01,100,1,train,1.5780081014633178,0.46544386314565694
vgg16,0.01,100,1,test,1.3495576176643371,0.5950679347826087
vgg16,0.05,100,1,train,8.09330507659912,0.45621574489287486
vgg16,0.05,100,1,test,9.027969291687011,0.5912635869565218
vgg16,0.1,100,1,train,16.142541831970213,0.45576939046669995
vgg16,0.1,100,1,test,18.21031903076172,0.5913722826086957
vgg16,0.5,100,1,train,80.5344709854126,0.4553230360405249
vgg16,0.5,100,1,test,91.72723532104492,0.5911141304347826
vgg16,0.001,1000,1,train,0.6217792973518371,0.37868501909981733
vgg16,0.001,1000,1,test,0.272569397687912,0.6203328804347826
vgg16,0.005,1000,1,train,0.946322832107544,0.47165130377013786
vgg16,0.005,1000,1,test,0.3692971150875092,0.5527173913043478
vgg16,0.01,1000,1,train,1.5146875619888305,0.47668576648397276
vgg16,0.01,1000,1,test,1.2336739320755006,0.5846875
vgg16,0.05,1000,1,train,8.021326652526856,0.46488332502906493
vgg16,0.05,1000,1,test,9.22617658996582,0.5687500000000001
vgg16,0.1,1000,1,train,16.0396424369812,0.4640113768476998
vgg16,0.1,1000,1,test,18.74700415802002,0.5675000000000001
vgg16,0.5,1000,1,train,80.13726491928101,0.46330551403421355
vgg16,0.5,1000,1,test,94.8811880493164,0.5670380434782608
--------------------bestparameter--------------------
model_name,lr,seed,n_epoch,auc
vgg16,0.001,10,1,0.6556929347826086
